sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
seq1-0607P-F11	1026051	926951	926951	916621	848652
seq1-60701-H6	310688	282478	282478	273909	271861
seq1-60807-G6	280995	255112	255112	250406	249568
seq1-61611-D10	311101	277291	277291	271096	269133
seq1-61612-C10	272007	244961	244961	237428	235358
seq1-61613-B10	307495	267286	267286	262360	261651
seq1-61614-A10	331185	292247	292247	287008	286178
seq1-61615-H10	310294	273883	273883	267193	266495
seq1-61616-G10	319257	284876	284876	276425	274902
seq1-61617-F10	321283	286452	286452	277621	276700
seq1-61618-E10	356056	320269	320269	314615	313878
seq1-A1-A1	276562	252038	252038	247672	245658
seq1-A10-B2	298015	255206	255206	251370	251241
seq1-A11-C2	376814	346796	346796	338574	336331
seq1-A12-D2	454369	414361	414361	401592	397838
seq1-A13-E2	485773	443829	443829	439657	439220
seq1-A14-F2	345065	316196	316196	308725	306495
seq1-A15-G2	328029	294072	294072	289760	289473
seq1-A16-H2	437428	393710	393710	389061	388708
seq1-A17-A3	550019	492733	492733	486516	486181
seq1-A18-B3	170189	148695	148695	147867	147866
seq1-A19-C3	631893	579408	579408	574585	573332
seq1-A2-B1	407767	364241	364241	354261	352925
seq1-A20-D3	20415	1415	1415	1159	1128
seq1-A21-E3	685557	623862	623862	612974	607253
seq1-A23-F3	643323	590076	590076	580741	573151
seq1-A3-C1	276207	254609	254609	243785	242157
seq1-A4-D1	401569	361856	361856	354054	351713
seq1-A5-E1	333527	302915	302915	293531	292805
seq1-A6-F1	343390	309393	309393	307933	307870
seq1-A7-G1	467516	430156	430156	426867	426557
seq1-A8-H1	396016	354972	354972	345710	341465
seq1-A9-A2	361011	329330	329330	321333	320439
seq1-AS1n2-G3	13320	4153	4153	3939	3939
seq1-C19-G11	398080	363561	363561	358515	356692
seq1-E1-A7	307132	285168	285168	274088	273193
seq1-E10-B8	275636	249737	249737	242804	240389
seq1-E11-C8	351884	324892	324892	319362	318057
seq1-E12-D8	337156	312519	312519	307675	306253
seq1-E13-E8	412844	382702	382702	373669	371784
seq1-E14-F8	389227	355498	355498	349813	348501
seq1-E15-G8	346620	320379	320379	311970	311204
seq1-E16-H8	438507	398014	398014	387474	385478
seq1-E17-A9	256390	234632	234632	229399	228825
seq1-E18-B9	352175	326533	326533	315793	314553
seq1-E19-C9	328128	298147	298147	288732	287689
seq1-E2-B7	309558	281721	281721	267253	266434
seq1-E20-D9	313108	286043	286043	277777	276791
seq1-E21-E9	427569	391002	391002	381541	379028
seq1-E22-F9	384392	349106	349106	343580	342596
seq1-E23-G9	626165	576216	576216	571226	570181
seq1-E3-C7	241090	218974	218974	213011	211282
seq1-E4-D7	300693	278557	278557	268743	267319
seq1-E5-E7	276926	255902	255902	249681	248291
seq1-E6-F7	337717	313705	313705	308664	306831
seq1-E7-G7	252687	231373	231373	224009	221444
seq1-E8-H7	352964	328733	328733	322740	319602
seq1-E9-A8	254653	225775	225775	217640	215478
seq1-Esc-H9	13604	2004	2004	1936	1936
seq1-F1-A12	165748	153070	153070	147842	145948
seq1-F2-B12	249189	228070	228070	218598	217239
seq1-F3-E12	76	65	65	61	61
seq1-F4-siyi-3-2-F12	174378	157814	157814	153192	150976
seq1-F5-siyi-3-17-G12	339527	312333	312333	302532	298706
seq1-F6-siyi-3-13-H12	289029	263184	263184	251321	250098
seq1-F7-si-3-18-H11	313721	286227	286227	282548	281157
